iter	Passed	Remaining
0	2	504
1	4	413
2	6	400
3	7	378
4	9	362
5	10	351
6	12	350
7	14	342
8	15	337
9	17	336
10	19	331
11	20	327
12	22	324
13	24	323
14	25	319
15	27	314
16	28	312
17	30	309
18	32	306
19	33	303
20	35	302
21	37	299
22	38	296
23	40	294
24	41	293
25	43	290
26	45	288
27	47	291
28	49	289
29	50	287
30	52	287
31	54	285
32	55	283
33	57	281
34	59	279
35	60	277
36	62	275
37	64	273
38	65	271
39	67	269
40	68	267
41	70	266
42	72	264
43	73	262
44	75	260
45	77	258
46	78	256
47	80	255
48	82	253
49	83	251
50	85	250
51	87	248
52	89	247
53	90	245
54	92	243
55	94	242
56	96	241
57	97	239
58	99	238
59	101	236
60	103	234
61	104	233
62	106	231
63	107	229
64	109	227
65	111	226
66	113	224
67	114	222
68	116	220
69	117	219
70	119	217
71	121	215
72	123	214
73	124	212
74	126	210
75	128	209
76	130	207
77	131	205
78	133	204
79	134	202
80	136	200
81	138	198
82	139	197
83	141	195
84	143	193
85	144	191
86	146	190
87	147	188
88	149	186
89	151	185
90	153	183
91	154	181
92	156	180
93	158	178
94	159	176
95	161	174
96	163	173
97	164	171
98	166	169
99	168	168
100	169	166
101	171	164
102	173	163
103	175	162
104	177	160
105	178	158
106	180	156
107	182	155
108	184	153
109	186	152
110	188	150
111	189	149
112	191	147
113	193	146
114	195	144
115	197	142
116	199	141
117	201	139
118	203	138
119	204	136
120	206	134
121	208	133
122	210	131
123	211	129
124	213	128
125	215	126
126	216	124
127	218	122
128	219	121
129	221	119
130	223	117
131	224	115
132	226	114
133	228	112
134	229	110
135	231	108
136	233	107
137	234	105
138	236	103
139	238	102
140	239	100
141	241	98
142	243	96
143	244	95
144	246	93
145	248	91
146	249	90
147	251	88
148	252	86
149	254	84
150	256	83
151	258	81
152	259	79
153	261	78
154	263	76
155	264	74
156	266	72
157	267	71
158	269	69
159	271	67
160	273	66
161	274	64
162	276	62
163	278	61
164	279	59
165	281	57
166	283	55
167	285	54
168	286	52
169	288	50
170	290	49
171	292	47
172	293	45
173	295	44
174	297	42
175	299	40
176	301	39
177	303	37
178	305	35
179	306	34
180	308	32
181	310	30
182	312	29
183	314	27
184	316	25
185	318	23
186	319	22
187	321	20
188	323	18
189	324	17
190	326	15
191	328	13
192	329	11
193	331	10
194	333	8
195	334	6
196	336	5
197	338	3
198	340	1
199	341	0
